CID,Isomeric SMILES
751460,CCOC(=O)C1=C2N(C(=O)CS2)C(=C(C1)C#N)N
16193368,CN1C2=CC=CC=C2C(=CC1=O)OCCCC(=O)NCCCN(C)CC3=CC=CC=C3
870729,C1=CC=C(C=C1)N2C=CC=C2C=NO
16266656,CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)CCN3C(=CSC3=O)C
2242680,COC1=C(C2=C(C=C1)C=C(C=C2)Br)CC(=O)N3CCC(CC3)C(=O)OC
3814736,C1=CC=C(C=C1)N=C(C2=CC=C(C=C2)Cl)NO
5389753,CC1=CC=CN2C1=NC(=C2/C(=C\3/C(N(C(=O)C3=O)CCN(C)C)C4=CC=NC=C4)/O)C
135406347,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4)C(=O)CC5=CC=CS5
3244578,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)NN3C=NN=C3
2861364,CC1=CC(=NC2=CC(=NN12)C(=O)NCCOC)C3=CC=CC=C3
2357565,C1=CN=C(N=C1)SCC(=O)NCC2=CC=C(C=C2)Cl
680766,C1=CC=C2C(=C1)N=C(S2)NC(=O)CCC(=O)O
4607961,C1C(C(CS1(=O)=O)O)N=NC2=C(NC3=C2C=C(C=C3)[N+](=O)[O-])O
823144,CN1C2=C(C(=O)C=C(N2)NNC(=O)CC#N)C(=O)N(C1=O)C
6463437,C1CN(CCC1C(=O)NCC2=CC=C(C=C2)Cl)C(=O)C3=CC=CO3
4237818,CC1CC(CN(C1)C(=O)CCC(=O)NC2=NN=C(S2)C3CCCCC3)C
16453035,CC1=CC=C(C=C1)N2C=CC(=O)C(=N2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4
6861731,CC1=CC(=C(O1)C)C(=O)N/N=C/C2=C(N(N=C2C)C3=CC=CC=C3)C
612269,COC1=CC=C(C=C1)C2=CC(=CC(=C2)O)O
8896226,CN1CCN(CC1)CC(=O)NC(=O)NC2CCCCC2
4647380,COCCN(CCOC)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=NN=C(O2)COC
2883004,C=COCCN1C2=CC=CC=C2N=C1C3=NON=C3N
661193,CC1=CC(=CC=C1)N2C3=NC=NC(=C3C=N2)NCCN4CCOCC4
3651709,C=CCN(C1=CC=CC=C1)C(=O)CSC2=NC3=C(C(=O)N2CC4=CC=CC=N4)SC=C3
9690287,CC1=CC=C(C=C1)NC(=O)/C(=N\O)/CN(C)C
3502624,CCCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CC3=CN=CC=C3)O)C(=O)C4=CC=CS4
3167589,CC1=CC(=C(C=C1)NCC2=NN=C(O2)SCC#N)C
1341111,CC1(CC2=C(C(C3=C(N2C)CC(CC3=O)(C)C)C4=CC(=C(C=C4)OC)OC)C(=O)C1)C
