ID,Mol,Smiles,Source
CHEMBL1098301,<rdkit.Chem.rdchem.Mol object at 0x000002210943C3C0>,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,mtor
CHEMBL1098245,<rdkit.Chem.rdchem.Mol object at 0x000002210943C430>,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CCO)cc5)cc4)nc32)CC1,mtor
CHEMBL1094981,<rdkit.Chem.rdchem.Mol object at 0x000002210943C4A0>,CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,mtor
CHEMBL1762788,<rdkit.Chem.rdchem.Mol object at 0x000002210943C510>,Cc1nc(N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,mtor
CHEMBL1258296,<rdkit.Chem.rdchem.Mol object at 0x000002210943C580>,O=C(Nc1ccc(CCO)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1,mtor
CHEMBL1256447,<rdkit.Chem.rdchem.Mol object at 0x000002210943C5F0>,COCCC(=O)N1CCN(c2ccc(Nc3ccnc4ccc(-c5cnc6ccccc6c5)cc34)cc2C(F)(F)F)CC1,mtor
CHEMBL1259050,<rdkit.Chem.rdchem.Mol object at 0x000002210943C660>,COc1ncc(-c2ccc3ncc4ccc(=O)n(-c5ccc(N6CCNCC6)c(C(F)(F)F)c5)c4c3c2)c(OC)n1,mtor
CHEMBL1084926,<rdkit.Chem.rdchem.Mol object at 0x000002210943C6D0>,CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,mtor
CHEMBL270553,<rdkit.Chem.rdchem.Mol object at 0x000002210943C740>,COC[C@H]1OC(=O)/C(=C/N2CCC(c3ccccc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,mtor
CHEMBL271982,<rdkit.Chem.rdchem.Mol object at 0x000002210943C7B0>,COC[C@H]1OC(=O)/C(=C/N2CCN(CCN3CCOCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,mtor
CHEMBL271430,<rdkit.Chem.rdchem.Mol object at 0x000002210943C820>,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCN(C)CC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,mtor
CHEMBL439319,<rdkit.Chem.rdchem.Mol object at 0x000002210943C890>,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3ncnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,mtor
CHEMBL1258635,<rdkit.Chem.rdchem.Mol object at 0x000002210943C900>,O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1cncnc1,mtor
CHEMBL1242292,<rdkit.Chem.rdchem.Mol object at 0x000002210943C970>,Nc1ncnc2[nH]nc(-c3cccc(OCc4c(Cl)cccc4Cl)c3)c12,mtor
CHEMBL1242850,<rdkit.Chem.rdchem.Mol object at 0x000002210943C9E0>,Nc1ncnc2[nH]nc(-c3ccc(-c4ccccc4)cc3)c12,mtor
CHEMBL1241674,<rdkit.Chem.rdchem.Mol object at 0x000002210943CA50>,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,mtor
CHEMBL1241487,<rdkit.Chem.rdchem.Mol object at 0x000002210943CAC0>,Nc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,mtor
CHEMBL1241943,<rdkit.Chem.rdchem.Mol object at 0x000002210943CB30>,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CCC1CCCNC1,mtor
CHEMBL222102,<rdkit.Chem.rdchem.Mol object at 0x000002210943CBA0>,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,mtor
CHEMBL1242656,<rdkit.Chem.rdchem.Mol object at 0x000002210943CC10>,CC1CCC(n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,mtor
CHEMBL1241583,<rdkit.Chem.rdchem.Mol object at 0x000002210943CC80>,CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21,mtor
CHEMBL1242117,<rdkit.Chem.rdchem.Mol object at 0x000002210943CCF0>,Cn1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,mtor
CHEMBL1242844,<rdkit.Chem.rdchem.Mol object at 0x000002210943CD60>,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1,mtor
CHEMBL1242573,<rdkit.Chem.rdchem.Mol object at 0x000002210943CDD0>,CC(C)n1nc(-c2cc(F)c3cn[nH]c3c2)c2c(N)ncnc21,mtor
CHEMBL1242384,<rdkit.Chem.rdchem.Mol object at 0x000002210943CE40>,CC(C)n1nc(-c2ccc3c(ccn3C)c2)c2c(N)ncnc21,mtor
CHEMBL1773734,<rdkit.Chem.rdchem.Mol object at 0x000002210943CEB0>,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3)cc2s1,mtor
CHEMBL1822059,<rdkit.Chem.rdchem.Mol object at 0x000002210943CF20>,O=S(=O)(Nc1cc(-c2ccc3nccn3c2)cnc1Cl)c1ccc(F)cc1,mtor
CHEMBL1822060,<rdkit.Chem.rdchem.Mol object at 0x000002210943CF90>,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2[nH]1,mtor
CHEMBL1773602,<rdkit.Chem.rdchem.Mol object at 0x000002210943D000>,COc1ccc(S(=O)(=O)Nc2cc(-c3ccc4nc(NC(C)=O)sc4c3)cnc2C#N)cc1,mtor
CHEMBL1615189,<rdkit.Chem.rdchem.Mol object at 0x000002210943D070>,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,mtor
CHEMBL1822212,<rdkit.Chem.rdchem.Mol object at 0x000002210943D0E0>,O=S(=O)(Nc1cc(-c2ccc3ncoc3c2)cnc1Cl)c1ccc(F)cc1,mtor
CHEMBL1242024,<rdkit.Chem.rdchem.Mol object at 0x000002210943D150>,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,mtor
CHEMBL1242468,<rdkit.Chem.rdchem.Mol object at 0x000002210943D1C0>,C[C@@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,mtor
CHEMBL1241947,<rdkit.Chem.rdchem.Mol object at 0x000002210943D230>,Cc1cc(-c2nn(C(C)C)c3ncnc(N)c23)sc1C=O,mtor
CHEMBL1762778,<rdkit.Chem.rdchem.Mol object at 0x000002210943D2A0>,Nc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,mtor
CHEMBL1774374,<rdkit.Chem.rdchem.Mol object at 0x000002210943D310>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CCOC)OC3)cc1,mtor
CHEMBL1774378,<rdkit.Chem.rdchem.Mol object at 0x000002210943D380>,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@@](C)(CO)OC3)cc1,mtor
CHEMBL1774361,<rdkit.Chem.rdchem.Mol object at 0x000002210943D3F0>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CC2CC2)OC3)cc1,mtor
CHEMBL1774364,<rdkit.Chem.rdchem.Mol object at 0x000002210943D460>,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@](C)(CCO)OC3)cc1,mtor
